"State","County","BeachID","Beach Name","Weather Station ID"
"NY","SUFFOLK","NY635787","WOODCLIFF PARK POA","KHWV"
"NY","SUFFOLK","NY637755","PECONIC DUNES CAMP - SOUND","KHTO"
"NY","SUFFOLK","NY638536","LLOYD HARBOR ESTATES","KFRG"
"NY","SUFFOLK","NY645739","NISSEQUOGUE POINT BEACH","KISP"
"NY","SUFFOLK","NY648214","BROADWAY BEACH","KHWV"
"NY","SUFFOLK","NY668366","LITTLE BAY BEACH","KISP"
"NY","SUFFOLK","NY687619","WOODHULL LANDING","KHWV"
"NY","SUFFOLK","NY696743","FIDDLERS GREEN ASSOCIATION","KFRG"
"NY","SUFFOLK","NY702605","CRESCENT BEACH - SUFFOLK","KFRG"
"NY","SUFFOLK","NY707687","CENTERPORT YACHT CLUB","KFRG"
"NY","SUFFOLK","NY713375","WEST NECK BEACH","KFRG"
"NY","SUFFOLK","NY729319","PRICES BEND BEACH","KFRG"
"NY","SUFFOLK","NY735511","WEST MEADOW BEACH","KISP"
"NY","SUFFOLK","NY764458","BAY HILLS POA","KFRG"
"NY","SUFFOLK","NY779726","SCHUBERT BEACH","KISP"
"NY","SUFFOLK","NY790817","TIDES PROPERTY OWNERS ASSOCIATION","KHWV"
"NY","SUFFOLK","NY798115","MATTITUCK BREAKWATER BEACH","KFOK"
"NY","SUFFOLK","NY817008","BAYCREST ASSOCIATION BEACH","KFRG"
"NY","SUFFOLK","NY835985","INDIAN FIELD BEACH","KISP"
"NY","SUFFOLK","NY843314","KNOLLWOOD BEACH","KFRG"
"NY","SUFFOLK","NY851326","GRANTLAND BEACH","KISP"
"NY","SUFFOLK","NY869747","OLD FIELD CLUB","KISP"
"NY","SUFFOLK","NY871151","SOUND BEACH POA - WEST","KHWV"
"NY","SUFFOLK","NY875624","HOBART BEACH - INLET","KFRG"
"NY","SUFFOLK","NY908578","SUNKEN MEADOW STATE PARK","KFRG"
"NY","SUFFOLK","NY921942","LLOYD NECK BATH CLUB","KFRG"
"NY","SUFFOLK","NY927224","CENTERPORT BEACH","KFRG"
"NY","SUFFOLK","NY933417","WADING RIVER BEACH","KHWV"
"NY","SUFFOLK","NY944001","CAMP DEWOLFE","KHWV"
"NY","SUFFOLK","NY954310","SHOREHAM SHORE CLUB","KHWV"
"NY","SUFFOLK","NY969774","CEDAR BEACH - WEST","KHWV"
"NY","SUFFOLK","NY995122","IRON PIER BEACH","KFOK"
"NY","WESTCHESTER","NY069186","VIP CLUB","KLGA"
"NY","WESTCHESTER","NY072318","NEW ROCHELLE ROWING CLUB","KLGA"
"NY","WESTCHESTER","NY077883","ECHO BAY YACHT CLUB","KLGA"
"NY","WESTCHESTER","NY092168","HUDSON PARK","KLGA"
"NY","WESTCHESTER","NY238322","BECKWITHE POINTE","KLGA"
"NY","WESTCHESTER","NY255139","GREENTREE CLUB","KLGA"
"NY","WESTCHESTER","NY259438","MANURSING ISLAND CLUB","KHPN"
"NY","WESTCHESTER","NY352572","DAVENPORT CLUB","KLGA"
"NY","WESTCHESTER","NY397308","WESTCHESTER COUNTRY CLUB BEACH","KHPN"
"NY","WESTCHESTER","NY411367","GLEN ISLAND PARK","KLGA"
"NY","WESTCHESTER","NY452361","SURF CLUB","KLGA"
"NY","WESTCHESTER","NY454053","RYE TOWN PARK - OAKLAND BEACH","KHPN"
"NY","WESTCHESTER","NY466491","ORIENTA BEACH CLUB","KHPN"
"NY","WESTCHESTER","NY485642","LARCHMONT MANOR PARK","KLGA"
"NY","WESTCHESTER","NY603669","AMERICAN YACHT CLUB","KHPN"
"NY","WESTCHESTER","NY629541","SHORE ACRES CLUB","KHPN"
"NY","WESTCHESTER","NY653743","SHENOROCK SHORE CLUB","KHPN"
"NY","WESTCHESTER","NY655241","RYE PLAYLAND BEACH","KHPN"
"NY","WESTCHESTER","NY705603","LARCHMONT SHORE CLUB","KLGA"
"NY","WESTCHESTER","NY847981","BEACH POINT CLUB","KHPN"
"NY","WESTCHESTER","NY937940","HARBOR ISLAND BEACH","KHPN"
"NY","WESTCHESTER","NY948448","COVELEIGH BEACH CLUB","KHPN"
"NY","WESTCHESTER","NY958766","MAMARONECK BEACH AND CABANA CLUB","KHPN"
"NY","SUFFOLK","NY255483","HAY HARBOR CLUB","KFRG"
"CT","NEW HAVEN","CT506928","WEST HAVEN WEST BEACH","KHVN"
"CT","NEW HAVEN","CT399384","WEST HAVEN EAST BEACH","KHVN"
"CT","NEW LONDON","CT303091","KIDDIE'S BEACH","KGON"
