"State","County","BeachID","Beach Name","Year","Sample Count"
"CT","FAIRFIELD","CT200291","ROWAYTON BEACH","2009","12"
"CT","FAIRFIELD","CT200291","ROWAYTON BEACH","2010","9"
"CT","FAIRFIELD","CT200291","ROWAYTON BEACH","2011","12"
"CT","FAIRFIELD","CT200291","ROWAYTON BEACH","2012","9"
"CT","FAIRFIELD","CT200291","ROWAYTON BEACH","2013","6"
"CT","FAIRFIELD","CT200291","ROWAYTON BEACH","2014","10"
"CT","FAIRFIELD","CT200291","ROWAYTON BEACH","2015","0"
"CT","FAIRFIELD","CT200292","BELL ISLAND BEACH","2003","0"
"CT","FAIRFIELD","CT200292","BELL ISLAND BEACH","2004","0"
"CT","FAIRFIELD","CT200292","BELL ISLAND BEACH","2005","0"
"CT","FAIRFIELD","CT200292","BELL ISLAND BEACH","2006","0"
"CT","FAIRFIELD","CT200292","BELL ISLAND BEACH","2007","0"
"CT","FAIRFIELD","CT200292","BELL ISLAND BEACH","2008","0"
"CT","FAIRFIELD","CT200292","BELL ISLAND BEACH","2009","11"
"CT","FAIRFIELD","CT200292","BELL ISLAND BEACH","2010","22"
"CT","FAIRFIELD","CT200292","BELL ISLAND BEACH","2011","14"
"CT","FAIRFIELD","CT200292","BELL ISLAND BEACH","2012","12"
"CT","FAIRFIELD","CT200292","BELL ISLAND BEACH","2013","9"
"CT","FAIRFIELD","CT200292","BELL ISLAND BEACH","2014","18"
"CT","FAIRFIELD","CT200292","BELL ISLAND BEACH","2015","0"
"CT","FAIRFIELD","CT202901","QUIGLEY BEACH","2003","0"
"CT","FAIRFIELD","CT202901","QUIGLEY BEACH","2004","0"
"CT","FAIRFIELD","CT202901","QUIGLEY BEACH","2005","0"
"CT","FAIRFIELD","CT202901","QUIGLEY BEACH","2006","0"
"CT","FAIRFIELD","CT202901","QUIGLEY BEACH","2007","0"
"CT","FAIRFIELD","CT202901","QUIGLEY BEACH","2008","10"
"CT","FAIRFIELD","CT202901","QUIGLEY BEACH","2009","7"
"CT","FAIRFIELD","CT202901","QUIGLEY BEACH","2010","7"
"CT","FAIRFIELD","CT202901","QUIGLEY BEACH","2011","5"
"CT","FAIRFIELD","CT202901","QUIGLEY BEACH","2012","5"
"CT","FAIRFIELD","CT202901","QUIGLEY BEACH","2013","5"
"CT","FAIRFIELD","CT202901","QUIGLEY BEACH","2014","2"
