State,County,BeachID,BeachName,OwnAccess ,BeachLength,BeachTier,StartLatitude,StartLongitude,EndLatitude,EndLongitude
NY,NASSAU,NY975269,PIPING ROCK BEACH,/,0.189,2,40.9068,-73.5957,40.9068,-73.5957
NY,NASSAU,NY979731,SEA CLIFF BEACH,/,0.223,1,40.8497,-73.6525,40.8497,-73.6525
NY,QUEENS,NY429358,WHITESTONE BOOSTER CIVIC ASSOCIATION,/,0.028,1,40.7998,-73.8218,40.7998,-73.8218
NY,QUEENS,NY888426,DOUGLASTON HOMEOWNERS ASSOCIATION,/,0.024,1,40.777446,-73.754847,40.777446,-73.754847
NY,SUFFOLK,NY106799,VALLEY GROVE BEACH,/,0.019,1,40.935683,-73.403433,40.935683,-73.403433
NY,SUFFOLK,NY109767,SOUTHOLD BEACH,/,0.028,3,41.088287,-72.415888,41.088287,-72.415888
NY,SUFFOLK,NY113506,SHOREHAM BEACH,/,0.028,2,40.963783,-72.8787,40.963783,-72.8787
NY,SUFFOLK,NY133112,CRAB MEADOW BEACH,/,0.057,2,40.929466,-73.326216,40.929466,-73.326216
NY,SUFFOLK,NY134025,EAGLE DOCK COMMUNITY BEACH,/,0.028,1,40.8736,-73.468833,40.8736,-73.468833
NY,SUFFOLK,NY159807,MCCABE'S BEACH,/,0.028,3,41.077833,-72.45145,41.077833,-72.45145
NY,SUFFOLK,NY168522,GOLD STAR BATTALION BEACH,/,0.028,1,40.897165,-73.4334,40.897165,-73.4334
NY,SUFFOLK,NY171464,LLOYD HARBOR VILLAGE PARK,/,0.028,2,40.89905,-73.476483,40.89905,-73.476483
NY,SUFFOLK,NY186000,ASHAROKEN BEACH,/,0.028,2,40.920149,-73.352226,40.920149,-73.352226
NY,SUFFOLK,NY238713,CEDAR BEACH - EAST (MT. SINAI),/,0.028,2,40.964895,-73.031842,40.964895,-73.031842
NY,SUFFOLK,NY260692,NATHAN HALE BEACH CLUB,/,0.019,2,40.904183,-73.412883,40.904183,-73.412883
NY,SUFFOLK,NY267977,CAMP BAITING HOLLOW,/,0.019,3,40.965,-72.7781,40.965,-72.7781
NY,SUFFOLK,NY289627,STONY BROOK YACHT CLUB,/,0.028,1,40.919483,-73.15115,40.919483,-73.15115
NY,SUFFOLK,NY301679,HUNTINGTON BEACH COMMUNITY ASSOC.,/,0.038,1,40.89972,-73.381211,40.89972,-73.381211
NY,SUFFOLK,NY339648,BELLE TERRE BEACH,/,0.028,2,40.966395,-73.059135,40.966395,-73.059135
NY,SUFFOLK,NY342581,SOUND BEACH POA - EAST,/,0.02,1,40.966683,-72.969466,40.966683,-72.969466
NY,SUFFOLK,NY344249,FRIENDSHIP DRIVE BEACH,/,0.028,2,40.962783,-72.917533,40.962783,-72.917533
NY,SUFFOLK,NY370065,HEAD OF THE BAY CLUB,/,0.028,2,40.904433,-73.407966,40.904433,-73.407966
NY,SUFFOLK,NY375131,BAYVIEW BEACH,/,0.028,2,40.96521,-73.11491,40.96521,-73.11491
NY,SUFFOLK,NY382589,SHORT BEACH,/,0.028,2,40.90795,-73.221466,40.90795,-73.221466
NY,SUFFOLK,NY398255,PORT JEFFERSON BEACH - EAST,/,0.028,2,40.9642,-73.048683,40.9642,-73.048683
NY,SUFFOLK,NY404494,LONG BEACH,/,0.028,2,40.920217,-73.17737,40.920217,-73.17737
NY,SUFFOLK,NY406101,FLEETS COVE BEACH,/,0.028,1,40.904374,-73.386043,40.904374,-73.386043
NY,SUFFOLK,NY451928,TERRACES ON THE SOUND,/,0.028,1,40.96571,-72.95004,40.96571,-72.95004
NY,SUFFOLK,NY456843,MILLER BEACH SURF CLUB,/,0.028,2,40.965925,-73.010319,40.965925,-73.010319
NY,SUFFOLK,NY470082,BAYBERRY COVE BEACH,/,0.028,2,40.96232,-73.1067,40.96232,-73.1067
NY,SUFFOLK,NY471816,CALLAHAN'S BEACH,/,0.028,2,40.919833,-73.280966,40.919833,-73.280966
NY,SUFFOLK,NY477475,PORT JEFFERSON BEACH - WEST,/,0.028,2,40.965716,-73.05635,40.965716,-73.05635
NY,SUFFOLK,NY477769,HOBART BEACH - BAY,/,0.028,2,40.926666,-73.402316,40.926666,-73.402316
NY,SUFFOLK,NY498489,SHOREHAM VILLAGE BEACH,/,0.028,2,40.962616,-72.909633,40.962616,-72.909633
NY,SUFFOLK,NY504437,COLD SPRING HARBOR BEACH CLUB,/,0.028,1,40.875966,-73.470916,40.875966,-73.470916
NY,SUFFOLK,NY553462,STEERS BEACH,/,0.028,2,40.918483,-73.352316,40.918483,-73.352316
NY,SUFFOLK,NY558605,DOROTHY P. FLINT CAMP,/,0.028,3,40.97485,-72.717483,40.97485,-72.717483
NY,SUFFOLK,NY563977,BEECH ROAD BEACH,/,0.028,1,40.96415,-72.936616,40.96415,-72.936616
NY,SUFFOLK,NY571635,WINCOMA BEACH,/,0.028,2,40.906021,-73.431125,40.906021,-73.431125
NY,SUFFOLK,NY572777,SOUND VIEW BEACH ASSOCIATION,/,0.028,2,40.9409,-73.1393,40.9409,-73.1393
NY,SUFFOLK,NY574303,REEVES BEACH,/,0.028,3,40.97605,-72.713116,40.97605,-72.713116
NY,SUFFOLK,NY595159,KENNEY'S BEACH,/,0.028,3,41.070724,-72.456969,41.070724,-72.456969
NY,SUFFOLK,NY603914,WILDWOOD STATE PARK BEACH,/,1.58,2,40.967166,-72.808316,40.967166,-72.808316
NY,SUFFOLK,NY612297,MILLER PLACE PARK BEACH,/,0.03,2,40.965933,-72.986983,40.965933,-72.986983
NY,SUFFOLK,NY612795,SCOTTS BEACH,/,0.028,2,40.966033,-72.983216,40.966033,-72.983216
NY,SUFFOLK,NY615322,STONY BROOK BEACH,/,0.028,2,40.922122,-73.14859,40.922122,-73.14859
NY,SUFFOLK,NY635787,WOODCLIFF PARK POA,/,0.028,3,40.967916,-72.7547,40.967916,-72.7547
NY,SUFFOLK,NY637755,PECONIC DUNES CAMP - SOUND,/,0.028,3,41.06605,-72.461066,41.06605,-72.461066
NY,SUFFOLK,NY638536,LLOYD HARBOR ESTATES,/,0.028,3,40.93522,-73.44921,40.93522,-73.44921
NY,SUFFOLK,NY645739,NISSEQUOGUE POINT BEACH,/,0.028,2,40.9091,-73.214666,40.9091,-73.214666
NY,SUFFOLK,NY648214,BROADWAY BEACH,/,0.019,1,40.962816,-72.924233,40.962816,-72.924233
NY,SUFFOLK,NY668366,LITTLE BAY BEACH,/,0.028,2,40.95058,-73.10738,40.95058,-73.10738
NY,SUFFOLK,NY687619,WOODHULL LANDING,/,0.03,2,40.966101,-72.985194,40.966101,-72.985194
NY,SUFFOLK,NY696743,FIDDLERS GREEN ASSOCIATION,/,0.028,3,40.9356,-73.45175,40.9356,-73.45175
NY,SUFFOLK,NY702605,CRESCENT BEACH - SUFFOLK,/,0.028,2,40.906596,-73.401246,40.906596,-73.401246
NY,SUFFOLK,NY707687,CENTERPORT YACHT CLUB,/,0.028,1,40.901683,-73.3604,40.901683,-73.3604
NY,SUFFOLK,NY713375,WEST NECK BEACH,/,0.028,2,40.9017,-73.48,40.9017,-73.48
NY,SUFFOLK,NY729319,PRICES BEND BEACH,/,0.034,2,40.9303,-73.399666,40.9303,-73.399666
NY,SUFFOLK,NY735511,WEST MEADOW BEACH,/,0.028,2,40.944829,-73.144463,40.944829,-73.144463
NY,SUFFOLK,NY764458,BAY HILLS POA,/,0.028,2,40.905483,-73.4036,40.905483,-73.4036
NY,SUFFOLK,NY779726,SCHUBERT BEACH,/,0.028,2,40.923316,-73.166283,40.923316,-73.166283
NY,SUFFOLK,NY790817,TIDES PROPERTY OWNERS ASSOCIATION,/,0.035,1,40.966016,-72.957283,40.966016,-72.957283
NY,SUFFOLK,NY798115,MATTITUCK BREAKWATER BEACH,/,0.028,2,41.015122,-72.560792,41.015122,-72.560792
NY,SUFFOLK,NY817008,BAYCREST ASSOCIATION BEACH,/,0.028,2,40.904416,-73.418616,40.904416,-73.418616
NY,SUFFOLK,NY835985,INDIAN FIELD BEACH,/,0.028,2,40.9667,-73.1088,40.9667,-73.1088
NY,SUFFOLK,NY843314,KNOLLWOOD BEACH,/,0.028,1,40.9052,-73.387516,40.9052,-73.387516
NY,SUFFOLK,NY851326,GRANTLAND BEACH,/,0.028,1,40.96093,-73.11729,40.96093,-73.11729
NY,SUFFOLK,NY869747,OLD FIELD CLUB,/,0.028,2,40.945462,-73.144416,40.945462,-73.144416
NY,SUFFOLK,NY871151,SOUND BEACH POA - WEST,/,0.019,1,40.96655,-72.970733,40.96655,-72.970733
NY,SUFFOLK,NY875624,HOBART BEACH - INLET,/,0.028,2,40.927433,-73.403033,40.927433,-73.403033
NY,SUFFOLK,NY908578,SUNKEN MEADOW STATE PARK,/,2.71,2,40.719739,-73.280697,40.719739,-73.280697
NY,SUFFOLK,NY921942,LLOYD NECK BATH CLUB,/,0.028,2,40.903807,-73.481647,40.903807,-73.481647
NY,SUFFOLK,NY927224,CENTERPORT BEACH,/,0.028,2,40.904833,-73.3786,40.904833,-73.3786
NY,SUFFOLK,NY933417,WADING RIVER BEACH,/,0.028,3,40.966883,-72.853933,40.966883,-72.853933
NY,SUFFOLK,NY944001,CAMP DEWOLFE,/,0.028,3,40.9687,-72.842333,40.9687,-72.842333
NY,SUFFOLK,NY954310,SHOREHAM SHORE CLUB,/,0.028,2,40.962616,-72.90065,40.962616,-72.90065
NY,SUFFOLK,NY969774,CEDAR BEACH - WEST,/,0.028,2,40.9651,-73.031783,40.9651,-73.031783
NY,SUFFOLK,NY995122,IRON PIER BEACH,/,0.028,3,40.987883,-72.6164,40.987883,-72.6164
NY,WESTCHESTER,NY069186,VIP CLUB,/,0.017,2,40.8904,-73.7762,40.8904,-73.7762
NY,WESTCHESTER,NY072318,NEW ROCHELLE ROWING CLUB,/,0.03,3,40.8989,-73.764,40.8989,-73.764
NY,WESTCHESTER,NY077883,ECHO BAY YACHT CLUB,/,0.04,1,40.907768,-73.763073,40.907768,-73.763073
NY,WESTCHESTER,NY092168,HUDSON PARK,/,0.458,1,40.907804,-73.77109,40.907804,-73.77109
NY,WESTCHESTER,NY238322,BECKWITHE POINTE,/,0.404,1,40.891675,-73.779588,40.891675,-73.779588
NY,WESTCHESTER,NY255139,GREENTREE CLUB,/,0.017,1,40.892692,-73.773861,40.892692,-73.773861
