StateCode,BeachID,BeachName,Station ID,StationName,CountyName,Identifier,StartDate,StartTime,ZoneCode,ActivityTypeCode,CharacteristicName,ResultValue,DetectionQuantitationLimit,,,,,,,,
NY,NY109767,SOUTHOLD BEACH,NY109767-01,,SUFFOLK,,2016-08-01 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,4,~~,,,,,,,,
NY,NY109767,SOUTHOLD BEACH,NY109767-01,,SUFFOLK,,2016-07-18 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,56,~~,,,,,,,,
NY,NY109767,SOUTHOLD BEACH,NY109767-01,,SUFFOLK,,2016-07-15 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,16,~~,,,,,,,,
NY,NY109767,SOUTHOLD BEACH,NY109767-01,,SUFFOLK,,2016-07-11 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,8,~~,,,,,,,,
NY,NY109767,SOUTHOLD BEACH,NY109767-01,,SUFFOLK,,2016-07-06 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,0,Lower Quantitation Limit~4~#/100ml,,,,,,,,
NY,NY109767,SOUTHOLD BEACH,NY109767-01,,SUFFOLK,,2016-06-27 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,0,Lower Quantitation Limit~4~#/100ml,,,,,,,,
NY,NY109767,SOUTHOLD BEACH,NY109767-01,,SUFFOLK,,2016-06-24 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,0,Lower Quantitation Limit~4~#/100ml,,,,,,,,
NY,NY109767,SOUTHOLD BEACH,NY109767-01,,SUFFOLK,,2016-06-20 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,0,Lower Quantitation Limit~4~#/100ml,,,,,,,,
NY,NY109767,SOUTHOLD BEACH,NY109767-01,,SUFFOLK,,2016-06-14 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,0,Lower Quantitation Limit~4~#/100ml,,,,,,,,
NY,NY109767,SOUTHOLD BEACH,NY109767-01,,SUFFOLK,,2016-06-09 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,28,~~,,,,,,,,
NY,NY113506,SHOREHAM BEACH,NY113506-01,,SUFFOLK,,2016-09-13 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,24,~~,,,,,,,,
