"SiteID","Site Name","State","County","Total Number of Passing Samples","Number of Samples","Percent Pass All Samples","Grade All Samples","Dry Weather Passing Samples","Total Dry Weather Samples","Percent Pass Dry Samples","Grade Dry Samples","Wet Weather Passing Samples","Total Wet Weather Samples","Percent Pass Wet Samples","Grade Wet Samples"
"CT340493","DUBOIS BEACH","CT","NEW LONDON","0","0","","","0","0","","","0","0","",""
"CT407959","OCEAN BEACH PARK","CT","NEW LONDON","157","169","92.9","B","124","131","94.66","B+","33","38","86.84","C"
"CT434367","ESKER POINT BEACH","CT","NEW LONDON","70","77","90.91","B-","55","60","91.67","B","15","17","88.24","C+"
"CT493837","SOUNDVIEW BEACH","CT","NEW LONDON","61","63","96.83","A-","50","50","100.0","A+","11","13","84.62","C-"
"CT496693","GREEN HARBOR BEACH","CT","NEW LONDON","76","109","69.72","F","63","86","73.26","F","13","23","56.52","F"
"CT685151","WATERFORD TOWN BEACH","CT","NEW LONDON","103","107","96.26","A-","81","83","97.59","A","22","24","91.67","B"
"CT705857","EASTERN POINT BEACH","CT","NEW LONDON","81","87","93.1","B+","67","70","95.71","A-","14","17","82.35","D+"
"NY176548","WEST FORDHAM STREET ASSOCIATION","NY","BRONX","293","324","90.43","B-","209","228","91.67","B","84","96","87.5","C+"
"NY182382","TRINITY DANISH YOUNG PEOPLE'S SOCIETY","NY","BRONX","254","303","83.83","C-","200","216","92.59","B","54","87","62.07","F"
"NY300205","LOCUST POINT YACHT CLUB","NY","BRONX","286","297","96.3","A-","206","210","98.1","A","80","87","91.95","B"
"NY388768","WHITE CROSS FISHING CLUB","NY","BRONX","259","315","82.22","D+","192","216","88.89","C+","67","99","67.68","F"
"NY417062","SCHUYLER HILL CIVIC ASSOCIATION","NY","BRONX","287","300","95.67","A-","208","213","97.65","A","79","87","90.8","B-"
"NY549702","MORRIS YACHT AND BEACH CLUB","NY","BRONX","304","330","92.12","B","213","231","92.21","B","91","99","91.92","B"
"NY582799","DANISH AMERICAN BEACH CLUB","NY","BRONX","277","315","87.94","C+","199","216","92.13","B","78","99","78.79","D-"
"NY617089","AMERICAN TURNERS","NY","BRONX","257","315","81.59","D+","197","216","91.2","B","60","99","60.61","F"
"NY817429","ORCHARD BEACH","NY","BRONX","289","297","97.31","A","206","213","96.71","A-","83","84","98.81","A"
"NY818686","MANHEM BEACH CLUB","NY","BRONX","275","309","89.0","B-","198","210","94.29","B+","77","99","77.78","D-"
"NY159820","INC. VILLAGE OF LAUREL HOLLOW","NY","NASSAU","324","387","83.72","C-","263","304","86.51","C","61","83","73.49","F"
"NY348173","STEHLI BEACH","NY","NASSAU","257","273","94.14","B+","199","209","95.22","A-","58","64","90.63","B-"
"NY380652","THEODORE ROOSEVELT BEACH","NY","NASSAU","262","277","94.58","B+","203","213","95.31","A-","59","64","92.19","B"
"NY401633","BEEKMAN BEACH","NY","NASSAU","212","260","81.54","D+","168","199","84.42","C-","44","61","72.13","F"
"NY437791","VILLAGE CLUB AT SANDS POINT","NY","NASSAU","155","179","86.59","C","112","123","91.06","B","43","56","76.79","F"
"NY503509","CENTRE ISLAND - SOUND BEACH","NY","NASSAU","262","277","94.58","B+","170","180","94.44","B+","92","97","94.85","B+"
"NY529956","CRESCENT BEACH","NY","NASSAU","689","849","81.15","D+","515","585","88.03","C+","174","264","65.91","F"
"NY558450","PRYBIL BEACH","NY","NASSAU","257","269","95.54","A-","172","174","98.85","A","85","95","89.47","B-"
"NY565139","BAR BEACH","NY","NASSAU","188","208","90.38","B-","131","141","92.91","B","57","67","85.07","C"
"NY598076","THE CREEK BEACH","NY","NASSAU","261","266","98.12","A","170","172","98.84","A","91","94","96.81","A-"
"NY623549","MORGAN MEMORIAL BEACH","NY","NASSAU","243","280","86.79","C","168","191","87.96","C+","75","89","84.27","C-"
"NY650888","SOUNDSIDE BEACH","NY","NASSAU","257","267","96.25","A-","167","176","94.89","B+","90","91","98.9","A"
"NY663725","WEST HARBOR MEMORIAL BEACH","NY","NASSAU","262","269","97.4","A","174","177","98.31","A","88","92","95.65","A-"
"NY729205","RANSOM BEACH","NY","NASSAU","255","273","93.41","B+","199","210","94.76","B+","56","63","88.89","C+"
"NY753946","LATTINGTOWN BEACH","NY","NASSAU","256","273","93.77","B+","170","180","94.44","B+","86","93","92.47","B"
"NY854811","MANOR HAVEN BEACH","NY","NASSAU","161","177","90.96","B-","113","121","93.39","B+","48","56","85.71","C"
"NY905795","TAPPEN BEACH","NY","NASSAU","190","204","93.14","B+","136","138","98.55","A","54","66","81.82","D+"
"NY963988","CENTRE ISLAND - BAY BEACH","NY","NASSAU","259","271","95.57","A-","174","178","97.75","A","85","93","91.4","B"
"NY972763","HEMPSTEAD HARBOR BEACH PARK","NY","NASSAU","178","197","90.36","B-","127","135","94.07","B+","51","62","82.26","D+"
"NY975269","PIPING ROCK BEACH","NY","NASSAU","262","281","93.24","B+","201","217","92.63","B","61","64","95.31","A-"
"NY979731","SEA CLIFF BEACH","NY","NASSAU","191","209","91.39","B","136","143","95.1","A-","55","66","83.33","C-"
"NY429358","WHITESTONE BOOSTER CIVIC ASSOCIATION","NY","QUEENS","288","312","92.31","B","205","216","94.91","B+","83","96","86.46","C"
"NY888426","DOUGLASTON HOMEOWNERS ASSOCIATION","NY","QUEENS","252","348","72.41","F","179","249","71.89","F","73","99","73.74","F"
